max_pro_minus_flash_diversity,mean_pro_minus_flash_diversity,median_pro_minus_flash_diversity,min_pro_minus_flash_diversity,num_paired_tasks,sampling_method
0.04338234539689678,0.010361859147049056,0.0067115524719501,-0.01590124149432126,13,base
0.04735965810973064,0.004229709973566546,0.0015306729694892773,-0.0270005867399018,52,high_temperature
0.06639324728099771,0.003185055410830343,-0.0018046702461680941,-0.03390628674934648,52,random
0.032102708706910565,-0.004688499471342324,-0.005788702594822892,-0.034525544890042004,52,verbalized
